Name	Feature	UTM_X	UTM_Y	Lat	Lon	row	col
VelinoCluster86	Cluster	391125	4630125	41.81552528	13.68915651	379	323
VelinoCluster87	Cluster	314375	4711125	42.53022664	12.73982007	55	16
VelinoCluster88	Cluster	328875	4709875	42.52232234	12.91662851	60	74
VelinoCluster89	Cluster	353375	4681625	42.27305889	13.22194918	173	172
VelinoCluster90	Cluster	341125	4676875	42.22790458	13.07477867	192	123
VelinoCluster91	Cluster	352375	4670375	42.17159868	13.21268779	218	168
VelinoCluster92	Cluster	343375	4711625	42.54114663	13.09258071	53	132
VelinoCluster93	Cluster	347875	4687625	42.32601478	13.15370861	149	150
VelinoCluster94	Cluster	350125	4666875	42.13966448	13.18636001	232	159
VelinoCluster95	Cluster	331625	4683625	42.28666872	12.95776788	165	85
VelinoCluster96	Cluster	360625	4670375	42.1731111	13.31252826	218	201
VelinoCluster97	Cluster	375375	4639375	41.89649031	13.49763868	342	260
VelinoCluster98	Cluster	359375	4646375	41.95682525	13.30316513	314	196
VelinoCluster99	Cluster	337375	4692375	42.36664623	13.02500626	130	108
VelinoCluster100	Cluster	346625	4649125	41.97920444	13.14867624	303	145
VelinoCluster101	Cluster	325125	4709625	42.51923356	12.87108065	61	59
VelinoCluster102	Cluster	388875	4639875	41.90300614	13.66024226	340	314
VelinoCluster103	Cluster	333875	4699625	42.43115951	12.98043372	101	94
VelinoCluster104	Cluster	335375	4675375	42.21321291	13.00556641	198	100
VelinoCluster105	Cluster	325375	4713625	42.55528847	12.87290014	45	60
VelinoCluster106	Cluster	396125	4641125	41.9152484	13.74740961	335	343
VelinoCluster107	Cluster	326125	4702375	42.45421084	12.88544614	90	63
VelinoCluster108	Cluster	325875	4689125	42.33490611	12.88641478	143	62
VelinoCluster109	Cluster	349625	4682625	42.28134666	13.17623717	169	157
VelinoCluster110	Cluster	385125	4639875	41.90246982	13.61504363	340	299
VelinoCluster111	Cluster	389375	4638625	41.89182082	13.66650305	345	316
VelinoCluster112	Cluster	337875	4686625	42.314996	13.03268968	153	110
VelinoCluster113	Cluster	318625	4690625	42.34674984	12.79800254	137	33
VelinoCluster114	Cluster	339875	4697375	42.41216937	13.05396013	110	118
VelinoCluster115	Cluster	340875	4706375	42.49338226	13.0636119	74	122
VelinoCluster116	Cluster	356125	4681125	42.26906995	13.25540614	175	183
VelinoCluster117	Cluster	347125	4675625	42.21784968	13.14777716	197	147
VelinoCluster118	Cluster	335625	4688125	42.32802548	13.0049763	147	101
VelinoCluster119	Cluster	345125	4663375	42.10718655	13.12681432	246	139
VelinoCluster120	Cluster	347875	4656875	42.04921227	13.1617484	272	150
VelinoCluster121	Cluster	364125	4674125	42.20748641	13.35401121	203	215
VelinoCluster122	Cluster	334125	4667125	42.13869168	12.99278211	231	95
VelinoCluster123	Cluster	313125	4695875	42.3926932	12.72957777	116	11
VelinoCluster124	Cluster	335875	4677625	42.23357003	13.01098456	189	102
VelinoCluster125	Cluster	337625	4660375	42.07866658	13.03698667	258	109
VelinoCluster126	Cluster	339375	4705625	42.48632199	13.04557896	77	116
VelinoCluster127	Cluster	329875	4704625	42.47529302	12.93035478	81	78
VelinoCluster128	Cluster	341375	4689875	42.34497006	13.07424455	140	124
VelinoCluster129	Cluster	346375	4718875	42.6070057	13.12714409	24	144
VelinoCluster130	Cluster	328375	4682125	42.27245972	12.91881789	171	72
VelinoCluster131	Cluster	391125	4628625	41.80201837	13.68943188	385	323
VelinoCluster132	Cluster	348875	4667125	42.14167489	13.17117639	231	154
VelinoCluster133	Cluster	322125	4711125	42.53204854	12.83411748	55	47
VelinoCluster134	Cluster	354375	4675875	42.22148475	13.23551362	196	176
VelinoCluster135	Cluster	332375	4672375	42.1855733	12.97010805	210	88
VelinoCluster136	Cluster	331125	4678375	42.239308	12.95323664	186	83
VelinoCluster137	Cluster	384875	4642875	41.92944589	13.61144492	328	298
VelinoCluster138	Cluster	326125	4684625	42.29446175	12.89080075	161	63
VelinoCluster139	Cluster	360875	4666375	42.13714547	13.31650874	234	202
VelinoCluster140	Cluster	334125	4695125	42.39071104	12.9847686	119	95
VelinoCluster141	Cluster	349125	4710625	42.53328945	13.16283395	57	155
VelinoCluster142	Cluster	341625	4704875	42.48003488	13.07314814	80	125
VelinoCluster143	Cluster	345375	4690625	42.35252619	13.12257919	137	140
VelinoCluster144	Cluster	317625	4689625	42.33751671	12.78618662	141	29
VelinoCluster145	Cluster	315625	4700875	42.43828611	12.75832587	96	21
VelinoCluster146	Cluster	399375	4641125	41.91566918	13.78659154	335	356
VelinoCluster147	Cluster	354625	4666125	42.13376054	13.24097627	235	177
VelinoCluster148	Cluster	349375	4670125	42.16877672	13.17644876	219	156
VelinoCluster149	Cluster	342875	4701625	42.45103652	13.08923801	93	130
VelinoCluster150	Cluster	311875	4709875	42.51837411	12.70981453	60	6
VelinoCluster151	Cluster	353125	4656375	42.04570954	13.22528384	274	171
VelinoCluster152	Cluster	352625	4648625	41.97584817	13.22119056	305	169
VelinoCluster153	Cluster	326125	4713375	42.55320775	12.88210588	46	63
VelinoCluster154	Cluster	350125	4646875	41.95962286	13.19147586	312	159
