Name	Feature	UTM_X	UTM_Y	Lat	Lon
VelinoCluster735	Cluster	394875	4639875	41.90382725	13.73256256
VelinoCluster736	Cluster	383375	4665375	42.13181325	13.58888374
VelinoCluster737	Cluster	334375	4678625	42.24225419	12.9925316
VelinoCluster738	Cluster	392875	4656625	42.05438235	13.70540373
VelinoCluster739	Cluster	348375	4721375	42.62990409	13.1508479
VelinoCluster740	Cluster	367125	4665625	42.13147789	13.3922786
VelinoCluster741	Cluster	362125	4660125	42.08109966	13.3331034
VelinoCluster742	Cluster	351625	4657125	42.05217953	13.2069777
VelinoCluster743	Cluster	344375	4682125	42.27581596	13.11273193
VelinoCluster744	Cluster	339125	4704375	42.47501928	13.04288958
VelinoCluster745	Cluster	340875	4705375	42.48438152	13.0638896
VelinoCluster746	Cluster	333375	4663875	42.1092797	12.98463963
VelinoCluster747	Cluster	381125	4645125	41.94914893	13.56577461
VelinoCluster748	Cluster	327125	4692375	42.36443492	12.9006042
VelinoCluster749	Cluster	391875	4633375	41.84489293	13.69759101
VelinoCluster750	Cluster	384875	4659375	42.07801198	13.60821023
VelinoCluster751	Cluster	398375	4645375	41.95381113	13.77380255
VelinoCluster752	Cluster	375375	4663625	42.11482629	13.49249195
VelinoCluster753	Cluster	371875	4668375	42.15702731	13.44912622
VelinoCluster754	Cluster	336375	4704375	42.47444326	13.00945416
VelinoCluster755	Cluster	340625	4703625	42.46857879	13.06133592
VelinoCluster756	Cluster	324125	4715125	42.5685041	12.85722217
VelinoCluster757	Cluster	353125	4652875	42.01420151	13.22616032
VelinoCluster758	Cluster	347125	4721125	42.62740684	13.13567845
VelinoCluster759	Cluster	352875	4660375	42.08167168	13.22125934
VelinoCluster760	Cluster	345625	4684875	42.3008182	13.12714946
VelinoCluster761	Cluster	356375	4666625	42.13858431	13.26201851
VelinoCluster762	Cluster	394625	4639875	41.90379394	13.72954916
VelinoCluster763	Cluster	323125	4714625	42.56377597	12.84520194
VelinoCluster764	Cluster	331375	4694375	42.3833688	12.95159872
VelinoCluster765	Cluster	364875	4651375	42.002802	13.36835466
VelinoCluster766	Cluster	391125	4649125	41.98660993	13.68565216
VelinoCluster767	Cluster	352875	4679375	42.25271052	13.21645989
VelinoCluster768	Cluster	313625	4695375	42.38831381	12.73580967
VelinoCluster769	Cluster	348125	4706875	42.49933928	13.15165869
VelinoCluster770	Cluster	389875	4641875	41.92115491	13.67192211
VelinoCluster771	Cluster	350625	4685375	42.3062935	13.18764954
VelinoCluster772	Cluster	349375	4704875	42.48158102	13.16738957
VelinoCluster773	Cluster	363375	4667125	42.1443373	13.34657215
VelinoCluster774	Cluster	384125	4660625	42.08915647	13.59889816
VelinoCluster775	Cluster	350375	4663125	42.10595486	13.19034498
VelinoCluster776	Cluster	357625	4678125	42.24233863	13.27432339
VelinoCluster777	Cluster	321125	4707125	42.49582044	12.82319978
VelinoCluster778	Cluster	383875	4663375	42.11387996	13.59532966
VelinoCluster779	Cluster	390375	4643125	41.93247997	13.67771798
VelinoCluster780	Cluster	362625	4651875	42.0069141	13.34107968
VelinoCluster781	Cluster	386875	4639625	41.90047125	13.63618408
VelinoCluster782	Cluster	328875	4677625	42.23206796	12.92620498
VelinoCluster783	Cluster	347875	4697625	42.41602869	13.15106958
VelinoCluster784	Cluster	345125	4710625	42.53249839	13.11415231
VelinoCluster785	Cluster	335875	4669625	42.16156263	13.01324226
VelinoCluster786	Cluster	396625	4650375	41.99860653	13.75181306
VelinoCluster787	Cluster	390125	4650125	41.99547536	13.67339621
VelinoCluster788	Cluster	333125	4660625	42.07997357	12.98254533
VelinoCluster789	Cluster	348375	4652875	42.01330084	13.16882147
VelinoCluster790	Cluster	346125	4656375	42.04437077	13.14074371
VelinoCluster791	Cluster	336375	4698125	42.41818998	13.011235
VelinoCluster792	Cluster	369375	4662375	42.10259615	13.42021944
VelinoCluster793	Cluster	347375	4675125	42.21339773	13.15093596
VelinoCluster794	Cluster	384125	4665875	42.13642636	13.59785649
VelinoCluster795	Cluster	344375	4699875	42.43558726	13.10794365
VelinoCluster796	Cluster	346625	4673875	42.20199893	13.14218411
VelinoCluster797	Cluster	361125	4666875	42.14169109	13.31941357
VelinoCluster798	Cluster	387875	4661875	42.10095605	13.64398899
VelinoCluster799	Cluster	358625	4653875	42.02421126	13.29231497
VelinoCluster800	Cluster	334125	4678375	42.23995094	12.98957472
VelinoCluster801	Cluster	373375	4660625	42.08749609	13.4689576
VelinoCluster802	Cluster	368875	4668125	42.15428004	13.41288266
VelinoCluster803	Cluster	392375	4640125	41.90574178	13.70238315
VelinoCluster804	Cluster	353625	4665125	42.12457228	13.22913277
VelinoCluster805	Cluster	392875	4654125	42.0318716	13.7058607
VelinoCluster806	Cluster	359375	4662625	42.10311838	13.29926886
VelinoCluster807	Cluster	342625	4713375	42.55674558	13.08296987
VelinoCluster808	Cluster	345375	4690875	42.35477651	13.12251219
VelinoCluster809	Cluster	353625	4649375	41.98278633	13.23306825
VelinoCluster810	Cluster	351375	4709375	42.52247366	13.19054311
VelinoCluster811	Cluster	328125	4715625	42.57390476	12.90577363
VelinoCluster812	Cluster	333625	4703125	42.46260712	12.97638228
VelinoCluster813	Cluster	374875	4640125	41.90316408	13.49145421
VelinoCluster814	Cluster	349625	4723625	42.65040141	13.16548966
VelinoCluster815	Cluster	314375	4700625	42.43573822	12.74322026
VelinoCluster816	Cluster	383625	4642625	41.92701157	13.59642202
VelinoCluster817	Cluster	347125	4698125	42.42038197	13.14182579
VelinoCluster818	Cluster	376875	4661375	42.09480544	13.51110467
VelinoCluster819	Cluster	347375	4658375	42.06261821	13.15531867
VelinoCluster820	Cluster	386125	4640875	41.9116188	13.62690351
VelinoCluster821	Cluster	346625	4650625	41.99270741	13.14828486
VelinoCluster822	Cluster	347875	4681625	42.27200568	13.15528624
VelinoCluster823	Cluster	357625	4676875	42.23108588	13.27463003
VelinoCluster824	Cluster	394375	4631125	41.82496983	13.72809852
VelinoCluster825	Cluster	328125	4704625	42.4749067	12.90907897
VelinoCluster826	Cluster	313625	4708125	42.50304988	12.73167205
VelinoCluster827	Cluster	327875	4666625	42.13284376	12.91734721
VelinoCluster828	Cluster	340375	4652375	42.00721844	13.07239276
VelinoCluster829	Cluster	339875	4690625	42.35141352	13.05583614
VelinoCluster830	Cluster	335375	4678625	42.24246564	13.00464501
VelinoCluster831	Cluster	339875	4691625	42.36041443	13.05555858
VelinoCluster832	Cluster	387875	4658625	42.07169303	13.64461213
VelinoCluster833	Cluster	342375	4691125	42.35642463	13.08603682
VelinoCluster834	Cluster	367125	4654375	42.03019421	13.39483399
VelinoCluster835	Cluster	343875	4696875	42.40848362	13.10268262
VelinoCluster836	Cluster	332375	4662125	42.09331517	12.97305368
VelinoCluster837	Cluster	345125	4718125	42.60000501	13.11211715
VelinoCluster838	Cluster	380875	4643375	41.93335436	13.56311314
VelinoCluster839	Cluster	400125	4641625	41.92026679	13.79554897
VelinoCluster840	Cluster	336875	4703875	42.47004846	13.01567548
VelinoCluster841	Cluster	369875	4647875	41.97213266	13.4294826
VelinoCluster842	Cluster	337125	4664375	42.11456778	13.0298309
VelinoCluster843	Cluster	323875	4686625	42.31195646	12.86291638
VelinoCluster844	Cluster	397375	4641875	41.92216534	13.76234897
VelinoCluster845	Cluster	329625	4673625	42.19622999	12.936461
VelinoCluster846	Cluster	344375	4695625	42.39733261	13.10909369
VelinoCluster847	Cluster	359125	4645375	41.94777786	13.30038907
VelinoCluster848	Cluster	391125	4659125	42.07665233	13.68379553
VelinoCluster849	Cluster	356375	4656375	42.04630995	13.26453654
VelinoCluster850	Cluster	389875	4657375	42.06072082	13.66901729
VelinoCluster851	Cluster	393875	4646625	41.96447406	13.71929342
VelinoCluster852	Cluster	345125	4706875	42.49874476	13.11516727
VelinoCluster853	Cluster	347625	4658625	42.06491721	13.15827369
VelinoCluster854	Cluster	331875	4701375	42.44647907	12.9556227
VelinoCluster855	Cluster	390375	4654875	42.0382803	13.67552656
VelinoCluster856	Cluster	345125	4686625	42.31647132	13.12061802
VelinoCluster857	Cluster	347625	4721625	42.63200635	13.14163894
VelinoCluster858	Cluster	334875	4676625	42.22435848	12.99915718
VelinoCluster859	Cluster	354375	4670375	42.1719733	13.23689083
VelinoCluster860	Cluster	336875	4672125	42.18427416	13.02464007
VelinoCluster861	Cluster	384375	4666625	42.1432161	13.60073205
VelinoCluster862	Cluster	353125	4684875	42.30226788	13.21809438
VelinoCluster863	Cluster	362375	4660875	42.08789556	13.33594817
VelinoCluster864	Cluster	337625	4681875	42.27218978	13.03099049
VelinoCluster865	Cluster	332125	4665875	42.12701485	12.96895481
VelinoCluster866	Cluster	378375	4664625	42.12430076	13.52856095
VelinoCluster867	Cluster	401125	4640375	41.90913658	13.80781554
VelinoCluster868	Cluster	391375	4656875	42.05642752	13.68723457
VelinoCluster869	Cluster	353625	4651375	42.00079111	13.23257007
VelinoCluster870	Cluster	357875	4677125	42.23338196	13.27759712
VelinoCluster871	Cluster	345875	4666625	42.13658976	13.13502275
VelinoCluster872	Cluster	339375	4707125	42.49982295	13.0451584
VelinoCluster873	Cluster	349375	4686625	42.31730484	13.17216523
VelinoCluster874	Cluster	354125	4675875	42.22143812	13.23248585
VelinoCluster875	Cluster	390375	4640625	41.90996899	13.67818273
VelinoCluster876	Cluster	374375	4665375	42.13042253	13.48002308
VelinoCluster877	Cluster	373125	4665625	42.13247202	13.46484979
VelinoCluster878	Cluster	384375	4663375	42.11395383	13.60137601
VelinoCluster879	Cluster	368875	4650125	41.99222425	13.41691591
VelinoCluster880	Cluster	333875	4701125	42.44466006	12.97999998
VelinoCluster881	Cluster	361875	4643125	41.9280075	13.33408067
VelinoCluster882	Cluster	362625	4662625	42.10369412	13.33855846
VelinoCluster883	Cluster	386125	4660875	42.09170012	13.62302564
VelinoCluster884	Cluster	346875	4657625	42.05576954	13.14947463
VelinoCluster885	Cluster	343625	4711875	42.54344747	13.09555523
VelinoCluster886	Cluster	374375	4660625	42.08765675	13.48104462
VelinoCluster887	Cluster	392375	4648625	41.98227951	13.70083004
VelinoCluster888	Cluster	353125	4667125	42.14248301	13.22258302
VelinoCluster889	Cluster	346125	4693375	42.37742847	13.13094695
VelinoCluster890	Cluster	375625	4659125	42.07435064	13.49647248
VelinoCluster891	Cluster	381125	4637875	41.88387012	13.56723572
VelinoCluster892	Cluster	347375	4687875	42.32816728	13.1475773
VelinoCluster893	Cluster	393125	4656375	42.05216531	13.70846983
VelinoCluster894	Cluster	348375	4718375	42.60290109	13.15164693
VelinoCluster895	Cluster	392375	4630875	41.8224495	13.70406647
VelinoCluster896	Cluster	321625	4713375	42.55218183	12.82733124
VelinoCluster897	Cluster	393875	4647375	41.97122741	13.71915813
VelinoCluster898	Cluster	313875	4705875	42.48286265	12.73544338
VelinoCluster899	Cluster	349375	4650125	41.988737	13.18159779
VelinoCluster900	Cluster	340875	4688875	42.33586697	13.06845336
VelinoCluster901	Cluster	352625	4680625	42.2639157	13.2131129
VelinoCluster902	Cluster	313125	4691125	42.34994793	12.73111753
VelinoCluster903	Cluster	381625	4666625	42.14280546	13.56746211
VelinoCluster904	Cluster	350375	4695875	42.40076207	13.18189476
VelinoCluster905	Cluster	332875	4683375	42.28468751	12.97299215
VelinoCluster906	Cluster	358625	4666875	42.14124404	13.28917293
VelinoCluster907	Cluster	328375	4707125	42.49746191	12.91136968
VelinoCluster908	Cluster	397125	4651125	42.00542541	13.75771749
VelinoCluster909	Cluster	362625	4673875	42.20497364	13.33590668
VelinoCluster910	Cluster	356375	4657625	42.05756301	13.26423009
VelinoCluster911	Cluster	394625	4649375	41.98933698	13.72784939
VelinoCluster912	Cluster	344125	4714375	42.56605058	13.10095895
VelinoCluster913	Cluster	375375	4638875	41.89198844	13.4977442
VelinoCluster914	Cluster	332625	4662375	42.09561874	12.97600332
VelinoCluster915	Cluster	381875	4645625	41.95376358	13.57472033
VelinoCluster916	Cluster	353125	4649125	41.9804427	13.22709785
VelinoCluster917	Cluster	376375	4661375	42.09472684	13.50506038
VelinoCluster918	Cluster	370375	4666875	42.14327591	13.43130975
VelinoCluster919	Cluster	332125	4672125	42.18326953	12.96715458
VelinoCluster920	Cluster	330125	4663375	42.10408238	12.94549987
VelinoCluster921	Cluster	345375	4708125	42.510046	13.1178706
VelinoCluster922	Cluster	392875	4646875	41.96658993	13.70718295
VelinoCluster923	Cluster	391875	4653875	42.0294837	13.69382916
VelinoCluster924	Cluster	364875	4665875	42.13334395	13.36500746
VelinoCluster925	Cluster	395625	4638875	41.89492204	13.74177961
VelinoCluster926	Cluster	317375	4692625	42.36445617	12.78220473
VelinoCluster927	Cluster	392625	4646375	41.96205371	13.70425786
VelinoCluster928	Cluster	339125	4654625	42.02721729	13.05668957
VelinoCluster929	Cluster	345875	4703625	42.46964099	13.125164
VelinoCluster930	Cluster	369125	4663875	42.11605907	13.41686097
VelinoCluster931	Cluster	372125	4667375	42.14806504	13.45237064
VelinoCluster932	Cluster	331875	4699375	42.4284786	12.95620797
VelinoCluster933	Cluster	333875	4669875	42.16339113	12.98897503
VelinoCluster934	Cluster	336875	4678125	42.23827997	13.02295594
VelinoCluster935	Cluster	314875	4691125	42.3503663	12.75234864
VelinoCluster936	Cluster	374375	4664875	42.12592089	13.48013071
VelinoCluster937	Cluster	328375	4711125	42.53346133	12.91017004
VelinoCluster938	Cluster	340375	4671125	42.17599475	13.06727389
VelinoCluster939	Cluster	370375	4667875	42.15227896	13.43108741
VelinoCluster940	Cluster	370875	4659375	42.0758349	13.43901639
VelinoCluster941	Cluster	351625	4655125	42.03417516	13.207484
VelinoCluster942	Cluster	393375	4636125	41.86985908	13.71515907
VelinoCluster943	Cluster	396375	4649625	41.99182027	13.74892745
VelinoCluster944	Cluster	325125	4708375	42.50798402	12.8714626
VelinoCluster945	Cluster	333875	4694125	42.38165716	12.98202156
VelinoCluster946	Cluster	371625	4663375	42.11197068	13.44720146
VelinoCluster947	Cluster	326625	4697375	42.40932341	12.89303121
VelinoCluster948	Cluster	369875	4654875	42.03515553	13.42793157
VelinoCluster949	Cluster	373875	4666875	42.14384712	13.47365115
VelinoCluster950	Cluster	339875	4661125	42.08587959	13.06396735
VelinoCluster951	Cluster	387625	4649375	41.9883695	13.64336335
VelinoCluster952	Cluster	346625	4708375	42.51254509	13.13301099
VelinoCluster953	Cluster	333625	4702375	42.45585688	12.97659972
VelinoCluster954	Cluster	354125	4672625	42.19218146	13.23330147
VelinoCluster955	Cluster	356875	4649125	41.98113272	13.2723433
VelinoCluster956	Cluster	379625	4659625	42.0794757	13.54470892
VelinoCluster957	Cluster	355125	4658875	42.06858652	13.24882081
VelinoCluster958	Cluster	338875	4666375	42.13293171	13.0504353
VelinoCluster959	Cluster	312375	4713375	42.54999084	12.71474809
VelinoCluster960	Cluster	339375	4696125	42.40081508	13.04823585
VelinoCluster961	Cluster	327375	4703875	42.46799003	12.90018663
VelinoCluster962	Cluster	372875	4647125	41.9658696	13.46583987
VelinoCluster963	Cluster	365125	4660375	42.0838714	13.36930112
VelinoCluster964	Cluster	375375	4666875	42.14408715	13.49179784
VelinoCluster965	Cluster	366625	4668375	42.15615084	13.38560216
VelinoCluster966	Cluster	341375	4691375	42.35847158	13.0738322
VelinoCluster967	Cluster	382875	4662375	42.10472753	13.58343755
VelinoCluster968	Cluster	347875	4690125	42.3485184	13.15304999
VelinoCluster969	Cluster	391125	4628125	41.79751606	13.68952362
VelinoCluster970	Cluster	335625	4704375	42.47428447	13.00033558
VelinoCluster971	Cluster	359625	4676125	42.22469609	13.2990379
VelinoCluster972	Cluster	366625	4667875	42.15164942	13.38571659
VelinoCluster973	Cluster	366375	4668875	42.16060963	13.38246261
VelinoCluster974	Cluster	381375	4661125	42.09324757	13.56555507
VelinoCluster975	Cluster	340125	4680875	42.26370507	13.0615652
VelinoCluster976	Cluster	314875	4711625	42.53484595	12.74574162
VelinoCluster977	Cluster	347375	4689875	42.34617012	13.14704867
VelinoCluster978	Cluster	332125	4674875	42.2080214	12.96636085
VelinoCluster979	Cluster	320125	4704875	42.47534025	12.81174514
VelinoCluster980	Cluster	365125	4666875	42.1423898	13.3678
VelinoCluster981	Cluster	352875	4669375	42.16269077	13.21899111
VelinoCluster982	Cluster	337875	4707125	42.49951018	13.02691354
VelinoCluster983	Cluster	374375	4660875	42.08990759	13.48099091
VelinoCluster984	Cluster	387375	4631375	41.82625677	13.64378138
VelinoCluster985	Cluster	343875	4706625	42.49624338	13.10003098
VelinoCluster986	Cluster	334125	4663125	42.10268791	12.99391855
VelinoCluster987	Cluster	350125	4694875	42.39171237	13.17911881
VelinoCluster988	Cluster	336375	4671875	42.18191952	13.01865911
VelinoCluster989	Cluster	361375	4653125	42.01794849	13.32569588
VelinoCluster990	Cluster	380375	4646375	41.9602904	13.55647463
VelinoCluster991	Cluster	365125	4666125	42.13563771	13.36797344
VelinoCluster992	Cluster	367375	4669375	42.16528107	13.39444921
VelinoCluster993	Cluster	345875	4718125	42.60015526	13.12125465
VelinoCluster994	Cluster	374375	4658875	42.07190085	13.48142042
VelinoCluster995	Cluster	388625	4648625	41.98175836	13.65557463
VelinoCluster996	Cluster	384875	4661375	42.09601971	13.60781649
VelinoCluster997	Cluster	363625	4672875	42.1961461	13.34824985
VelinoCluster998	Cluster	349875	4685875	42.31065016	13.17842451
VelinoCluster999	Cluster	367125	4661125	42.09096465	13.39330233
