Name	Feature	UTM_X	UTM_Y	Lat	Lon	Elevation
Monte_Terminillo	Snow_station	334956.45	4702314.83	42.45559997	12.9928	1680.661621
ECAD_25988	Meteo_sta	339457.3207	4696372.028	42.40305556	13.04916667	456.0761108
VelinoCluster1	Cluster	347625	4688125	42.33046662	13.15054409	1316.567102
VelinoCluster2	Cluster	328125	4687125	42.31740582	12.91430326	539.7490779
VelinoCluster3	Cluster	388125	4641875	41.92090891	13.65082319	1110.139935
VelinoCluster4	Cluster	338875	4674125	42.20269081	13.04829135	955.3195596
VelinoCluster5	Cluster	350875	4649125	41.98002013	13.19995136	1452.374449
VelinoCluster6	Cluster	328125	4707375	42.4996564	12.9082542	1197.056637
VelinoCluster7	Cluster	338875	4699125	42.42771374	13.04132339	868.4028575
VelinoCluster8	Cluster	320375	4692625	42.36515494	12.81861084	686.4210126
VelinoCluster9	Cluster	390375	4636625	41.87395124	13.67892522	1688.679233
VelinoCluster10	Cluster	345125	4677125	42.23095813	13.1231578	700.0017473
VelinoCluster11	Cluster	348375	4660625	42.08306616	13.16681609	1213.353519
VelinoCluster12	Cluster	343875	4702125	42.45573906	13.10125629	1495.8328
VelinoCluster13	Cluster	382875	4635625	41.86387201	13.58876753	1381.754629
VelinoCluster14	Cluster	315625	4707875	42.50127921	12.75607584	537.032931
VelinoCluster15	Cluster	361375	4674625	42.21150487	13.32059219	1604.478678
VelinoCluster16	Cluster	373125	4644875	41.94565196	13.46934078	895.5643269
VelinoCluster17	Cluster	349625	4712875	42.55363958	13.16832717	998.7779106
VelinoCluster18	Cluster	332625	4685375	42.30263497	12.96938341	743.4600983
VelinoCluster19	Cluster	314375	4701625	42.4447372	12.74289713	920.0096494
VelinoCluster20	Cluster	340625	4665125	42.12203777	13.07193945	754.3246861
VelinoCluster21	Cluster	349625	4667875	42.14857059	13.18005457	906.4289147
VelinoCluster22	Cluster	354125	4670875	42.1764278	13.23374015	770.6215677
VelinoCluster23	Cluster	337625	4664625	42.11692174	13.03580605	615.8011922
VelinoCluster24	Cluster	366875	4657375	42.05716107	13.39113364	713.582482
VelinoCluster25	Cluster	318875	4700125	42.43230238	12.79804793	387.6448493
VelinoCluster26	Cluster	346375	4706875	42.49899389	13.1303719	835.8090943
VelinoCluster27	Cluster	361875	4664125	42.11706643	13.32913682	1004.210204
VelinoCluster28	Cluster	378875	4650625	41.99832741	13.53750416	651.1111024
VelinoCluster29	Cluster	342875	4672875	42.19225306	13.09705489	827.6606534
VelinoCluster30	Cluster	327375	4695625	42.39374055	12.90266462	460.9808167
VelinoCluster31	Cluster	352625	4671125	42.1783973	13.2155233	748.8923922
VelinoCluster32	Cluster	350625	4690875	42.35580246	13.1862272	1091.126907
VelinoCluster33	Cluster	390875	4649625	41.99107749	13.68254207	1006.926351
VelinoCluster34	Cluster	330375	4696875	42.40565169	12.93872216	667.407984
VelinoCluster35	Cluster	364125	4665125	42.12646224	13.35611082	1039.520115
VelinoCluster36	Cluster	381875	4666875	42.1450941	13.57043598	1759.299053
VelinoCluster37	Cluster	332875	4672375	42.18568026	12.97615925	879.2674453
VelinoCluster38	Cluster	389375	4649875	41.99311931	13.66439034	1028.655527
VelinoCluster39	Cluster	343375	4701125	42.44663721	13.09545152	1509.413535
VelinoCluster40	Cluster	353875	4654375	42.02784463	13.23484051	1373.606188
VelinoCluster41	Cluster	361625	4660125	42.08101171	13.32706094	947.1711188
VelinoCluster42	Cluster	344125	4708375	42.51204539	13.10259532	987.9133228
VelinoCluster43	Cluster	346125	4688125	42.33017157	13.13234714	1235.082694
VelinoCluster44	Cluster	326125	4694125	42.37996188	12.88794032	792.3507432
VelinoCluster45	Cluster	394875	4642375	41.92633873	13.73211703	1411.632245
VelinoCluster46	Cluster	326125	4707375	42.49920967	12.88392993	577.7751351
VelinoCluster47	Cluster	356125	4658625	42.06651969	13.26096437	746.1762453
VelinoCluster48	Cluster	361875	4673375	42.20034026	13.32694409	1911.403282
VelinoCluster49	Cluster	337875	4682125	42.27449201	13.03395038	523.4521963
VelinoCluster50	Cluster	362875	4669125	42.16225523	13.34005309	1691.39538
