var	variable	unit	acc_operator	acc_unit	group	subgroup
Qsub.exit	Q subsurface exit	[mm]	mean	[mm]	Q	subsurface exit
QE	Latent heat	[W/m2]	mean	[W/m2]	QE	
Qfm	Heat for freezing or melting	[W/m2]	mean	[W/m2]	Qfm	
Qlat.in	Incoming Lateral subsurface flow	[mm]	mean	[mm]	Qlat	incoming
Qlat.out	Outgoing Lateral subsurface flow	[mm]	mean	[mm]	Qlat	outgoing
Qv	Heat advected by Precip.	[W/m2]	mean	[W/m2]	Qv	
RA.H	Autotrophic Respirat. High Veg.	[gC/m2 PFT day]	mean	[gC/m2 PFT]	RA	high vegetation
RA.L	Autotrophic Respirat. Low Veg.	[gC/m2 PFT day]	mean	[gC/m2 PFT]	RA	low vegetation
Rd	Saturation excess runoff	[mm]	mean	[mm]	Run	saturation excess
Rdark.H	Leaf Dark Respirat. High Veg.	[µmol CO2 / m2 PFT s]	mean	[µmol CO2 / m2 PFT]	Rdark.H	high vegetation
Rdark.L	Leaf Dark Respirat. Low Veg.	[µmol CO2 / m2 PFT s]	mean	[µmol CO2 / m2 PFT]	Rdark.L	low vegetation
Rg.H	Growth Respirat. High Veg.	[gC / m2 PFT day]	mean	[gC / m2 PFT]	Rg.H	high vegetation
Rg.L	Growth Respirat. Low Veg.	[gC / m2 PFT day]	mean	[gC / m2 PFT]	Rg.L	low vegetation
Rh	Infiltration excess runoff	[mm]	mean	[mm]	Run	infiltration excess
Rmc.H	Maint. Respirat. Carbohydrate reserve High Veg.	[gC / m2 PFT day]	mean	[gC / m2 PFT]	R	CH reserve, high vegetation
Rmc.L	Maint. Respirat. Carbohydrate reserve Low Veg.	[gC / m2 PFT day]	mean	[gC / m2 PFT]	R	CH reserve, low vegetation
Rmr.H	Maint. Respirat. roots High Veg.	[gC / m2 PFT day]	mean	[gC / m2 PFT]	R	roots, high vegetation
Rmr.L	Maint. Respirat. roots Low Veg.	[gC / m2 PFT day]	mean	[gC / m2 PFT]	R	roots, low vegetation
Rms.H	Maint. Respirat. sapwood High Veg.	[gC / m2 PFT day]	mean	[gC / m2 PFT]	R	sapwood, high vegetation
Rms.L	Maint. Respirat. sapwood Low Veg.	[gC / m2 PFT day]	mean	[gC / m2 PFT]	R	sapwood, low vegetation
Rn	Net radiation	[W/m2]	mean	[W/m2]	Rad	net
ros	Snow density	[kg/m3]	mean	[kg/m3]	ros	
Rsw	Net shortwave radiation	[W/m2]	mean	[W/m2]	Rad	SW
SAI.H	Stem Area Index High Veg.	[m2 SAI/ m2 PFT]	mean	[m2 SAI / m2 PFT]	SAI	high vegetation
SAI.L	Stem Area Index Low Veg.	[m2 SAI / m2 PFT]	mean	[m2 SAI / m2 PFT]	SAI	low vegetation
SAT	SAT	[ ]	mean	[ ]	SAT	
Smelt	Snow melt	[mm/h]	mean	[mm]	Snow	melt
SND	Snow Depth	[m]	mean	[m]	Snow	depth
snow.albedo	Snow albedo	[-]	mean	[-]	Albedo	snow
soil.albedo	Soil albedo	[-]	mean	[-]	Albedo	soil
SP.wc	Snowpack water content	[mm]	mean	[mm]	Snow	water content
surface.albedo	Surface albedo	[-]	mean	[-]	Albedo	surface
SWE	Ground snowpack Snow Water Equivalent	[mm]	mean	[mm]	Snow	w.e.
SWE.avalanched	Snow avalanched	[mm/h]	mean	[mm]	Snow	avalanched
SWE.exit	Snow exit	[mm/h]	mean	[mm]	Snow	exit
T	Transpir. Veg.	[mm/h]	mean	[mm]	Transp	vegetation
T.H	Transpir. High Veg.	[mm/h]	mean	[mm]	Transp_H	high vegetation
T.L	Transpir. Low Veg.	[mm/h]	mean	[mm]	Transp_L	low vegetation
Ta	Air T	[°C]	mean	[°C]	T	air
Tdamp	Soil/snow Temp. at Dampening depth	[°C]	mean	[°C]	Tdamp	dampening depth
Tdew	Dew point Temp.	[°C]	mean	[°C]	T	dew point
Tdp	Soil Temp. of the layer	[°C]	mean	[°C]	T	soil layer
Tice	Ice Temp.	[°C]	mean	[°C]	T	ice
Ts	Soil/snow Progn. Temp. for the EB	[°C]	mean	[°C]	T	surface
TsVEG	Veg. Temp. for the EB	[°C]	mean	[°C]	T	vegetation
U.SWE	Unloaded snow water eq. from interc. snow	[mm]	mean	[mm]	Snow	unloaded w.e. from In
V.clnd	Vol. of water stored in the soil	[mm]	mean	[mm]	V	water in soil layer
Vice.clnd	Vol. of frozen water stored in the soil	[mm]	mean	[mm]	V	frozen water in soil layer
WAT	Vol. of water in the lakes/ponds	[mm]	mean	[mm]	W	water vol. in ponds
WIS	Water flux incoming to the soil	[mm]	mean	[mm]	W	influx to soil
WR.IP	Water released from the ice pack	[mm/h]	mean	[mm]	W	released from ice
WR.SP	Water released from the snow pack	[mm/h]	mean	[mm]	W	released from snow
Ws	Wind speed	[m/s]	mean	[m/s]	Ws	
ZWT	Water table depth	[mm]	mean	[mm]	ZWT
