var	variable	unit	temporal_resolution	per_soil_layer
NIn.SWE	New Intercepted Snow Water Equivalent	[mm]	hourly	FALSE
NPP.H	Net Prim. Product. High Veg.	[gC / m2 PFT day]	daily	FALSE
NPP.L	Net Prim. Product. Low Veg.	[gC / m2 PFT day]	daily	FALSE
O	Liquid Volumetric Soil Water Content	[-]	hourly	TRUE
OH	Soil Moisture available to roots High Veg.	[-]	hourly	FALSE
Oice	Frozen Volumetric Soil Water Content	[-]	hourly	TRUE
OL	Soil Moisture available to roots Low Veg.	[-]	hourly	FALSE
OS	Soil Moisture for Bare Evapor. Layers	[-]	hourly	FALSE
PARB	PAR direct	[W/m2]	hourly	FALSE
PARD	PAR diffuse	[W/m2]	hourly	FALSE
PHE.S.H	Phenology State High Vegetation	[no.]	daily	FALSE
PHE.S.L	Phenology State Low Vegetation	[no.]	daily	FALSE
POT	Soil Water Potental	[mm]	hourly	TRUE
Pr	Precipitation	[mm]	hourly	FALSE
Pr.liq	Liquid Precip.	[mm]	hourly	FALSE
Pr.sno	Solid (snow) Precip.	[mm]	hourly	FALSE
Pre	Atmospheric Pressure	[mbar]	hourly	FALSE
Psi.l.H	Leaf Water Potential in the leaves High Vegetation	[Mpa]	hourly	FALSE
Psi.l.L	Leaf Water Potential in the leaves Low Vegetation	[Mpa]	hourly	FALSE
Psi.s.H	Soil Water Potential felt by the roots High Vegetation	[Mpa]	hourly	FALSE
Psi.s.L	Soil Water Potential felt by the roots Low Vegetation	[Mpa]	hourly	FALSE
Psi.x.H	Soil Water Potential in the stem xylem High Vegetation	[Mpa]	hourly	FALSE
Psi.x.L	Soil Water Potential in the stem xylem Low Vegetation	[Mpa]	hourly	FALSE
QE	Latent Heat	[W/m2]	hourly	FALSE
QEV	Latent Heat from Vegetation in presence of snow	[W/m2]	hourly	FALSE
Qfm	Heat for freezing or melting	[W/m2]	hourly	FALSE
Qi.in	Incoming Lateral subsurface flow	[mm]	hourly	TRUE
Qi.out	Outgoing Lateral subsurface flow	[mm]	hourly	TRUE
Qv	Heat advected by Precip.	[W/m2]	hourly	FALSE
RA.H	Autotrophic Respirat. High Veg.	[gC/m2 PFT day]	daily	FALSE
RA.L	Autotrophic Respirat. Low Veg.	[gC/m2 PFT day]	daily	FALSE
rap.H	Undercanopy Resistance High Vegetation	[s/m]	hourly	FALSE
