Name,LAT,LON,ELEV,hDebris,Var6,Var7,Var8,Station,Lat___,Lon___,Elevation_m_,VariableMeasured,RecordingSince,LON_UTM,LAT_UTM,ID,Elevation,Slope,Aspect,COL,ROW,idx
T_logger_off3200,39.13514132,71.44479726,3186,0,NaN,NaN,NaN,,NaN,NaN,NaN,,,711309.160440265,4334619.87053759,0,0,0,0,41,149,8829
T_logger_off2100,39.15813,71.54635,2130,0,NaN,NaN,NaN,,NaN,NaN,NaN,,,720016.109294556,4337413.01022599,0,0,0,0,128,177,27736
baro_st2_st3,39.13529693,71.44239032,3205,0,NaN,NaN,NaN,,NaN,NaN,NaN,,,711100.632507497,4334631.53835559,0,0,0,0,39,150,8396
Cluster_0,39.0310104437153,71.4907292125596,0,0,0,0,0,,0,0,0,,,715596.6305,4323169.9468,33,3910.56810222786,0.582912571152867,3.80183950240905,84,35,18046
Cluster_1,39.0209839751171,71.4961519452545,0,0,0,0,0,,0,0,0,,,716096.6305,4322069.9468,34,4906.26422769466,0.82117531411459,3.68517386645852,89,24,19120
Cluster_2,39.0404764755854,71.4263660061066,0,0,0,0,0,,0,0,0,,,709996.6305,4324069.9468,35,4707.88798813806,0.465443497878715,2.08255644629592,28,44,5903
Cluster_3,39.0116704797662,71.4681089576364,0,0,0,0,0,,0,0,0,,,713696.6305,4320969.9468,36,5631.10048761303,0.596210956806545,2.1132579294408,65,13,13901
Cluster_4,39.0612798800822,71.4224558421586,0,0,0,0,0,,0,0,0,,,709596.6305,4326369.9468,37,4555.29088078683,0.741385000192525,2.69658610919347,24,67,5058
Cluster_5,39.0775383554206,71.4634681395917,0,0,0,0,0,,0,0,0,,,713096.6305,4328269.9468,38,4425.58333953828,0.639430710180997,3.1632486529956,59,86,12672
Cluster_6,39.0527432533024,71.4429627509049,0,0,0,0,0,,0,0,0,,,711396.6305,4325469.9468,39,4250.09666608436,0.314728460470369,3.40272022152564,42,58,8955
Cluster_7,39.0455891604897,71.4404054335726,0,0,0,0,0,,0,0,0,,,711196.6305,4324669.9468,40,4383.61913501669,0.149606838603873,3.43342170467052,40,50,8513
Cluster_8,39.0079470304698,71.4737532191917,0,0,0,0,0,,0,0,0,,,714196.6305,4320569.9468,41,5287.75699607275,0.783496554762504,2.67816521930654,70,9,14982
Cluster_9,39.0369712099452,71.4216251321972,0,0,0,0,0,,0,0,0,,,709596.6305,4323669.9468,42,5020.71205820809,0.682650463555449,1.22905521486833,24,40,5031
Cluster_10,39.0327669098322,71.4503605438769,0,0,0,0,0,,0,0,0,,,712096.6305,4323269.9468,43,4471.36247174365,0.547450209409727,1.77554161484715,49,36,10452
Cluster_11,39.021082722985,71.4915355863949,0,0,0,0,0,,0,0,0,,,715696.6305,4322069.9468,44,4684.99842203537,0.75025059062831,3.70359475634544,85,24,18252
Cluster_12,39.0138311514193,71.4935906387608,0,0,0,0,0,,0,0,0,,,715896.6305,4321269.9468,45,5509.02280173204,0.780171958349084,3.59920971365286,87,16,18678
Cluster_13,39.0293576420616,71.4837405998773,0,0,0,0,0,,0,0,0,,,714996.6305,4322969.9468,46,3902.9382468603,0.177311808715701,3.49482467096028,78,33,16742
Cluster_14,39.0856165202467,71.4649052856233,0,0,0,0,0,,0,0,0,,,713196.6305,4329169.9468,47,3784.67548866309,0.265967713073551,3.50710526421823,60,95,12898
Cluster_15,39.0513763618646,71.4221172835708,0,0,0,0,0,,0,0,0,,,709596.6305,4325269.9468,48,5119.90017798639,0.653837294639147,2.49395632043728,24,56,5047
Cluster_16,39.0282602695675,71.4929427818849,0,0,0,0,0,,0,0,0,,,715796.6305,4322869.9468,49,4231.02202766545,0.724762018125428,3.1878098395115,86,32,18477
Cluster_17,39.0467546682076,71.427736293316,0,0,0,0,0,,0,0,0,,,710096.6305,4324769.9468,50,4879.5597339082,0.461010702660823,1.77554161484715,29,51,6127
Cluster_18,39.0705795645151,71.4516683270375,0,0,0,0,0,,0,0,0,,,712096.6305,4327469.9468,51,4742.22233729209,0.600643752024437,4.23780056306631,49,78,10494
Cluster_19,39.0749594129613,71.457599193135,0,0,0,0,0,,0,0,0,,,712596.6305,4327969.9468,52,4959.6732152676,0.828932705745902,2.81939204177298,54,83,11584
Cluster_20,39.0255100577947,71.4951561829269,0,0,0,0,0,,0,0,0,,,715996.6305,4322569.9468,53,4517.14160394902,0.73251940975674,3.29833517883306,88,29,18908
Cluster_21,39.0326940698984,71.4538234929361,0,0,0,0,0,,0,0,0,,,712396.6305,4323269.9468,54,4257.72652145192,0.50977145005764,1.51764915643018,52,36,11103
Cluster_22,39.0182337107626,71.4983650065625,0,0,0,0,0,,0,0,0,,,716296.6305,4321769.9468,55,5230.53308081604,0.736952204974632,3.79569920578007,91,21,19551
Cluster_23,39.0317208271783,71.4572552339975,0,0,0,0,0,,0,0,0,,,712696.6305,4323169.9468,56,4147.09361862227,0.197259387196217,1.57291182609096,55,35,11753
